Order ID,Customer ID,Amount (INR),Payment Method,Bank,Failure Reason,Error Source,Error Step,Attempts,Status
ord_00034,cust_0124,115.47,card,SBI,insufficient_funds,customer,authorization,3,attempted
ord_00035,cust_0022,"60,850.16",card,Axis,incorrect_cvv,customer,authorization,3,attempted
ord_00036,cust_0046,"4,780.90",card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00037,cust_0103,"5,698.53",card,Kotak,card_expired,customer,authorization,3,attempted
ord_00038,cust_0152,299.55,card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00039,cust_0040,"3,736.87",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00040,cust_0027,"87,554.77",card,ICICI,refund_issued,business,payment,3,attempted
ord_00041,cust_0008,193.34,netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00042,cust_0140,"1,747.02",upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00043,cust_0150,"81,407.14",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00044,cust_0135,336.91,emandate,HDFC,mandate_revoked,customer,authorization,3,attempted
ord_00045,cust_0045,353.57,card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00046,cust_0133,"11,187.44",card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00047,cust_0064,211.11,card,ICICI,refund_issued,business,payment,1,attempted
ord_00048,cust_0017,50.40,upi,,invalid_vpa,customer,payment,2,attempted
ord_00049,cust_0071,"49,021.56",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00050,cust_0134,"85,086.09",card,ICICI,refund_issued,business,payment,2,attempted
ord_00051,cust_0032,"1,534.50",card,ICICI,refund_issued,business,payment,2,attempted
ord_00052,cust_0078,150.33,card,SBI,payment_blocked_by_risk,business,authorization,1,attempted
ord_00053,cust_0036,"4,003.36",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00054,cust_0058,307.54,upi,Axis,payment_timeout,gateway,authorization,1,attempted
ord_00055,cust_0082,"2,661.33",emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00056,cust_0099,42.11,card,Kotak,card_expired,customer,authorization,2,attempted
ord_00057,cust_0027,262.73,card,ICICI,refund_issued,business,payment,1,attempted
ord_00058,cust_0109,134.25,upi,,invalid_vpa,customer,payment,3,attempted
ord_00059,cust_0084,"3,404.95",upi,,invalid_vpa,customer,payment,1,attempted
ord_00060,cust_0069,56.00,upi,,invalid_vpa,customer,payment,1,attempted
ord_00061,cust_0068,327.59,card,SBI,insufficient_funds,customer,authorization,1,attempted
ord_00062,cust_0160,"5,968.11",card,SBI,payment_blocked_by_risk,business,authorization,1,attempted
ord_00063,cust_0068,227.32,card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00064,cust_0075,108.65,netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00065,cust_0010,"1,914.93",card,ICICI,refund_issued,business,payment,1,attempted
ord_00066,cust_0063,"3,485.88",card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00067,cust_0101,"61,146.79",card,SBI,insufficient_funds,customer,authorization,3,attempted
ord_00068,cust_0036,"34,787.19",upi,,invalid_vpa,customer,payment,2,attempted
ord_00069,cust_0066,"7,197.43",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00070,cust_0073,"37,994.07",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00071,cust_0115,653.33,upi,Axis,payment_timeout,gateway,authorization,1,attempted
ord_00072,cust_0063,"2,241.99",upi,,invalid_vpa,customer,payment,1,attempted
ord_00073,cust_0122,114.52,upi,,invalid_vpa,customer,payment,2,attempted
ord_00074,cust_0068,274.45,card,ICICI,refund_issued,business,payment,1,attempted
ord_00075,cust_0060,633.33,netbanking,ICICI,issuer_down,bank,authorization,1,attempted
ord_00076,cust_0153,"19,041.18",card,Axis,incorrect_cvv,customer,authorization,2,attempted
ord_00077,cust_0038,"29,870.83",card,Kotak,card_expired,customer,authorization,1,attempted
ord_00078,cust_0135,263.98,card,ICICI,refund_issued,business,payment,3,attempted
ord_00079,cust_0059,"75,418.37",card,Axis,incorrect_cvv,customer,authorization,1,attempted
ord_00080,cust_0116,"3,967.87",card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00081,cust_0068,"3,906.87",card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00082,cust_0024,"48,249.57",card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00083,cust_0068,59.11,card,ICICI,refund_issued,business,payment,1,attempted
ord_00084,cust_0020,"4,039.62",upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00085,cust_0154,314.94,upi,,invalid_vpa,customer,payment,1,attempted
ord_00086,cust_0035,"31,571.04",card,Kotak,card_expired,customer,authorization,1,attempted
ord_00087,cust_0056,"62,448.13",card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00088,cust_0031,"3,292.60",card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00089,cust_0118,880.78,upi,Axis,payment_timeout,gateway,authorization,1,attempted
ord_00090,cust_0054,388.36,card,ICICI,refund_issued,business,payment,1,attempted
ord_00091,cust_0034,"4,585.92",card,Axis,incorrect_cvv,customer,authorization,3,attempted
ord_00092,cust_0125,"1,030.99",card,ICICI,refund_issued,business,payment,2,attempted
ord_00093,cust_0078,"5,719.77",card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00094,cust_0001,"2,506.19",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00095,cust_0004,"83,817.50",card,Kotak,card_expired,customer,authorization,3,attempted
ord_00096,cust_0020,"38,773.53",upi,,invalid_vpa,customer,payment,2,attempted
ord_00097,cust_0074,310.81,emandate,HDFC,mandate_revoked,customer,authorization,3,attempted
ord_00098,cust_0096,126.00,netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00099,cust_0141,"82,727.61",card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00100,cust_0074,53.06,card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00101,cust_0088,"3,480.61",card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00102,cust_0062,"4,536.97",upi,,invalid_vpa,customer,payment,2,attempted
ord_00103,cust_0020,238.42,card,SBI,payment_blocked_by_risk,business,authorization,1,attempted
ord_00104,cust_0116,"3,183.62",card,ICICI,refund_issued,business,payment,2,attempted
ord_00105,cust_0024,"20,674.39",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00106,cust_0106,169.43,upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00107,cust_0128,307.23,emandate,HDFC,mandate_revoked,customer,authorization,2,attempted
ord_00108,cust_0056,"48,285.24",card,Axis,incorrect_cvv,customer,authorization,1,attempted
ord_00109,cust_0080,"2,553.54",upi,,invalid_vpa,customer,payment,1,attempted
ord_00110,cust_0151,"4,373.27",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00111,cust_0120,"83,965.50",card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00112,cust_0028,"18,773.73",upi,Axis,payment_timeout,gateway,authorization,3,attempted
ord_00113,cust_0060,66.03,card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00114,cust_0136,"2,101.18",card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00115,cust_0150,"11,909.56",emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00116,cust_0078,"6,096.77",emandate,HDFC,mandate_revoked,customer,authorization,2,attempted
ord_00117,cust_0135,"4,009.62",upi,,invalid_vpa,customer,payment,1,attempted
ord_00118,cust_0015,"5,779.44",card,ICICI,refund_issued,business,payment,1,attempted
ord_00119,cust_0059,"4,176.99",upi,Axis,payment_timeout,gateway,authorization,3,attempted
ord_00120,cust_0108,"1,670.00",emandate,HDFC,mandate_revoked,customer,authorization,2,attempted
ord_00121,cust_0018,"68,086.85",emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00122,cust_0120,389.00,card,SBI,payment_blocked_by_risk,business,authorization,1,attempted
ord_00123,cust_0157,"2,051.62",upi,,invalid_vpa,customer,payment,1,attempted
ord_00124,cust_0038,"10,739.03",upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00125,cust_0016,112.73,card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00126,cust_0021,199.12,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00127,cust_0009,"4,053.82",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00128,cust_0001,341.28,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00129,cust_0054,"80,354.50",upi,,invalid_vpa,customer,payment,2,attempted
ord_00130,cust_0013,315.59,card,Kotak,card_expired,customer,authorization,3,attempted
ord_00131,cust_0094,"3,432.56",card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00132,cust_0011,"2,700.49",card,SBI,payment_blocked_by_risk,business,authorization,2,attempted
ord_00133,cust_0017,204.38,card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00134,cust_0068,167.49,card,Kotak,card_expired,customer,authorization,3,attempted
ord_00135,cust_0017,"66,612.05",card,Kotak,card_expired,customer,authorization,1,attempted
ord_00136,cust_0065,"4,407.20",upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00137,cust_0078,"6,731.24",card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00138,cust_0153,"2,235.68",netbanking,ICICI,issuer_down,bank,authorization,1,attempted
ord_00139,cust_0009,107.02,card,ICICI,refund_issued,business,payment,2,attempted
ord_00140,cust_0019,233.79,card,ICICI,refund_issued,business,payment,2,attempted
ord_00141,cust_0115,"47,871.92",card,Axis,incorrect_cvv,customer,authorization,1,attempted
ord_00142,cust_0138,83.52,upi,Axis,payment_timeout,gateway,authorization,3,attempted
ord_00143,cust_0096,"2,045.97",card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00144,cust_0073,107.70,upi,,invalid_vpa,customer,payment,3,attempted
ord_00145,cust_0135,"89,365.69",upi,Axis,payment_timeout,gateway,authorization,1,attempted
ord_00146,cust_0060,"5,949.35",card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00147,cust_0154,49.73,card,Kotak,card_expired,customer,authorization,3,attempted
ord_00148,cust_0155,"2,484.53",upi,Axis,payment_timeout,gateway,authorization,2,attempted
ord_00149,cust_0010,73.61,card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00150,cust_0053,"27,412.75",card,Kotak,card_expired,customer,authorization,1,attempted
ord_00151,cust_0053,184.28,card,Kotak,card_expired,customer,authorization,1,attempted
ord_00152,cust_0141,754.32,card,SBI,payment_blocked_by_risk,business,authorization,1,attempted
ord_00153,cust_0073,"1,316.66",card,ICICI,refund_issued,business,payment,3,attempted
ord_00154,cust_0107,687.62,upi,,invalid_vpa,customer,payment,2,attempted
ord_00155,cust_0101,350.45,card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00156,cust_0030,432.91,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00157,cust_0004,245.90,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00158,cust_0160,"39,324.41",card,ICICI,refund_issued,business,payment,2,attempted
ord_00159,cust_0018,97.67,card,ICICI,refund_issued,business,payment,1,attempted
ord_00160,cust_0078,214.04,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00161,cust_0100,"10,483.46",card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00162,cust_0159,286.20,card,Axis,incorrect_cvv,customer,authorization,2,attempted
ord_00163,cust_0011,343.92,card,Axis,incorrect_cvv,customer,authorization,2,attempted
ord_00164,cust_0050,"18,555.24",card,ICICI,refund_issued,business,payment,1,attempted
ord_00165,cust_0031,"4,164.62",card,ICICI,refund_issued,business,payment,2,attempted
ord_00166,cust_0108,"71,359.24",card,Axis,incorrect_cvv,customer,authorization,2,attempted
ord_00167,cust_0113,"36,865.80",card,Axis,incorrect_cvv,customer,authorization,1,attempted
ord_00168,cust_0159,"5,922.37",card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00169,cust_0111,"2,641.92",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00170,cust_0034,327.83,card,SBI,insufficient_funds,customer,authorization,1,attempted
ord_00171,cust_0097,"10,558.25",card,Kotak,card_expired,customer,authorization,3,attempted
ord_00172,cust_0029,"57,586.40",netbanking,ICICI,issuer_down,bank,authorization,1,attempted
ord_00173,cust_0057,393.33,netbanking,ICICI,issuer_down,bank,authorization,1,attempted
ord_00174,cust_0071,"33,202.48",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00175,cust_0068,"46,329.04",netbanking,ICICI,issuer_down,bank,authorization,3,attempted
ord_00176,cust_0042,"2,484.69",card,ICICI,refund_issued,business,payment,3,attempted
ord_00177,cust_0030,"5,414.31",upi,,invalid_vpa,customer,payment,3,attempted
ord_00178,cust_0134,"79,327.98",card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00179,cust_0096,"77,954.35",card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00180,cust_0114,396.53,emandate,HDFC,mandate_revoked,customer,authorization,1,attempted
ord_00181,cust_0065,"30,896.21",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00182,cust_0009,"67,575.26",card,Axis,incorrect_cvv,customer,authorization,1,attempted
ord_00183,cust_0013,"3,903.46",netbanking,ICICI,issuer_down,bank,authorization,1,attempted
ord_00184,cust_0146,117.95,card,SBI,payment_blocked_by_risk,business,authorization,2,attempted
ord_00185,cust_0078,"24,837.75",upi,,invalid_vpa,customer,payment,3,attempted
ord_00186,cust_0004,109.53,netbanking,ICICI,issuer_down,bank,authorization,1,attempted
ord_00187,cust_0070,"18,154.10",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00188,cust_0153,714.33,upi,,invalid_vpa,customer,payment,3,attempted
ord_00189,cust_0043,196.97,card,Axis,incorrect_cvv,customer,authorization,1,attempted
ord_00190,cust_0015,57.46,card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00191,cust_0052,"4,078.08",card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00192,cust_0045,"40,880.54",card,Axis,incorrect_cvv,customer,authorization,3,attempted
ord_00193,cust_0123,"89,501.15",upi,,invalid_vpa,customer,payment,3,attempted
ord_00194,cust_0021,"5,128.82",card,ICICI,refund_issued,business,payment,3,attempted
ord_00195,cust_0010,"27,959.85",card,SBI,payment_blocked_by_risk,business,authorization,1,attempted
ord_00196,cust_0014,"5,581.00",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00197,cust_0076,"4,240.11",card,ICICI,refund_issued,business,payment,3,attempted
ord_00198,cust_0052,66.18,upi,Axis,payment_timeout,gateway,authorization,1,attempted
ord_00199,cust_0138,"2,576.76",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00200,cust_0060,"4,306.66",card,SBI,payment_blocked_by_risk,business,authorization,3,attempted
ord_00201,cust_0044,"55,167.91",upi,,invalid_vpa,customer,payment,1,attempted
ord_00202,cust_0037,997.40,card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00203,cust_0018,46.27,card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00204,cust_0017,"36,526.11",card,HDFC,card_declined_by_issuer,bank,authorization,3,attempted
ord_00205,cust_0023,74.10,emandate,HDFC,mandate_revoked,customer,authorization,3,attempted
ord_00206,cust_0053,"72,525.25",upi,,invalid_vpa,customer,payment,2,attempted
ord_00207,cust_0013,"1,862.49",card,Kotak,card_expired,customer,authorization,3,attempted
ord_00208,cust_0074,"4,707.73",card,Kotak,card_expired,customer,authorization,3,attempted
ord_00209,cust_0089,323.01,card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00210,cust_0148,231.33,card,HDFC,card_declined_by_issuer,bank,authorization,2,attempted
ord_00211,cust_0002,194.16,netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00212,cust_0152,"4,293.16",card,SBI,payment_blocked_by_risk,business,authorization,2,attempted
ord_00213,cust_0060,130.11,card,ICICI,refund_issued,business,payment,2,attempted
ord_00214,cust_0144,"12,794.14",netbanking,ICICI,issuer_down,bank,authorization,1,attempted
ord_00215,cust_0023,"39,146.35",card,Kotak,card_expired,customer,authorization,2,attempted
ord_00216,cust_0129,"41,957.11",card,HDFC,card_declined_by_issuer,bank,authorization,1,attempted
ord_00217,cust_0137,393.58,emandate,HDFC,mandate_revoked,customer,authorization,3,attempted
ord_00218,cust_0116,270.90,card,Axis,incorrect_cvv,customer,authorization,3,attempted
ord_00219,cust_0149,"1,349.48",card,ICICI,refund_issued,business,payment,1,attempted
ord_00220,cust_0050,"64,511.36",netbanking,ICICI,issuer_down,bank,authorization,2,attempted
ord_00221,cust_0040,"57,855.93",upi,,invalid_vpa,customer,payment,1,attempted
ord_00222,cust_0067,255.06,card,Kotak,card_expired,customer,authorization,3,attempted
ord_00223,cust_0038,95.08,card,SBI,insufficient_funds,customer,authorization,2,attempted
ord_00224,cust_0072,193.75,upi,,invalid_vpa,customer,payment,1,attempted
ord_00225,cust_0057,470.66,emandate,HDFC,mandate_revoked,customer,authorization,3,attempted
ord_00226,cust_0002,"1,194.15",upi,,invalid_vpa,customer,payment,3,attempted
ord_00227,cust_0108,"54,214.15",upi,Axis,payment_timeout,gateway,authorization,1,attempted
ord_00228,cust_0111,"4,205.74",card,Axis,incorrect_cvv,customer,authorization,2,attempted
ord_00229,cust_0041,948.05,upi,,invalid_vpa,customer,payment,2,attempted
ord_00230,cust_0047,"78,117.15",emandate,HDFC,mandate_revoked,customer,authorization,3,attempted
ord_00231,cust_0010,319.04,card,Kotak,card_expired,customer,authorization,2,attempted
ord_00232,cust_0133,114.53,card,ICICI,refund_issued,business,payment,2,attempted
ord_00233,cust_0132,"2,957.99",card,SBI,insufficient_funds,customer,authorization,1,attempted
ord_00234,cust_0048,225.42,card,Kotak,card_expired,customer,authorization,2,attempted
ord_00235,cust_0015,"1,085.41",card,ICICI,refund_issued,business,payment,2,attempted
ord_00236,cust_0091,744.42,upi,,invalid_vpa,customer,payment,3,attempted
ord_00237,cust_0057,"39,640.13",upi,,invalid_vpa,customer,payment,2,attempted
ord_00238,cust_0050,"71,235.03",card,SBI,payment_blocked_by_risk,business,authorization,2,attempted
ord_00239,cust_0106,"18,286.13",card,ICICI,refund_issued,business,payment,2,attempted
ord_00240,cust_0091,"4,037.80",upi,,invalid_vpa,customer,payment,1,attempted
,cust_0001,500.00,card,HDFC,card_expired,customer,authorization,1,attempted
ord_90001,cust_0002,N/A,upi,,invalid_vpa,customer,payment,1,attempted
ord_90002,cust_0003,"-1,200.00",card,SBI,refund_issued,business,payment,1,refunded
